127.0.0.1 - - [08/Feb/2022:09:42:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Feb/2022:09:44:56 +0900] "GET /study/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [08/Feb/2022:09:44:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Feb/2022:10:22:37 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [08/Feb/2022:10:42:36 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [08/Feb/2022:10:43:40 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [08/Feb/2022:10:50:15 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [08/Feb/2022:10:52:53 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [08/Feb/2022:10:55:23 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [08/Feb/2022:10:55:41 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [08/Feb/2022:10:55:59 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [08/Feb/2022:10:56:26 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [08/Feb/2022:10:57:03 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [08/Feb/2022:11:01:57 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [08/Feb/2022:11:02:20 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [08/Feb/2022:11:02:51 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [08/Feb/2022:11:03:03 +0900] "GET /study/html1/test1.html HTTP/1.1" 200 769
