127.0.0.1 - - [15/Feb/2022:09:36:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:36:58 +0900] "GET /study/naver/naver.jsp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:36:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:37:00 +0900] "GET /study/naver/naver.jsp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:37:26 +0900] "GET /study/naver/naver.jsp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:37:34 +0900] "GET /study/naver/test1.html HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:38:15 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:38:18 +0900] "GET /study/html1/naver/naverupdate.jsp?id=hwcotton HTTP/1.1" 200 4648
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:38:24 +0900] "GET /study/html1/naver/naver.jsp HTTP/1.1" 200 5288
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:38:24 +0900] "GET /study/html1/naver/nana.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:38:24 +0900] "GET /study/html1/naver/%EC%9E%A0%EA%B8%88%EC%9D%B4%EB%AF%B8%EC%A7%80.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:45:18 +0900] "POST /study/html1/naver/naver_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:45:18 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 5921
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:45:39 +0900] "GET /study/html1/naver/naverupdate.jsp?id=criti HTTP/1.1" 200 4648
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:45:44 +0900] "POST /study/html1/naver/naverupdate_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:45:44 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:53:47 +0900] "GET /study/html1/naver/naver.jsp HTTP/1.1" 200 5288
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:54:13 +0900] "POST /study/html1/naver/naver_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:09:54:13 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6697
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:04:45 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6715
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:04:46 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6715
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:04:47 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6715
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:04:47 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6715
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:04:47 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6715
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:04:47 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6715
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:05:39 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6697
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:05:56 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:06:22 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:08:14 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:08:27 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6732
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:08:41 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6732
0:0:0:0:0:0:0:1 - - [15/Feb/2022:10:08:47 +0900] "GET /study/html1/naver/naverList.jsp HTTP/1.1" 200 6732
0:0:0:0:0:0:0:1 - - [15/Feb/2022:11:07:02 +0900] "GET /study/board/created.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [15/Feb/2022:11:07:15 +0900] "GET /study/board/create.jsp HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [15/Feb/2022:11:07:15 +0900] "GET /study/board/css/style.css HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [15/Feb/2022:11:07:15 +0900] "GET /study/board/js/util.js HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [15/Feb/2022:11:07:53 +0900] "GET /study/board/create.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [15/Feb/2022:11:07:54 +0900] "GET /study/board/create.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [15/Feb/2022:11:07:58 +0900] "GET /study/board/created.jsp HTTP/1.1" 200 2122
