127.0.0.1 - - [12/Feb/2022:19:41:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:41:44 +0900] "GET /study/html1/naver/naver.html HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:41:44 +0900] "GET /study/html1/naver/nana.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:41:44 +0900] "GET /study/html1/naver/%EC%9E%A0%EA%B8%88%EC%9D%B4%EB%AF%B8%EC%A7%80.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:41:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:41:53 +0900] "POST /study/html1/naver/naver.html HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:42:42 +0900] "GET /study/html1/naver/login.html HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:42:42 +0900] "GET /study/html1/naver/logo.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:42:42 +0900] "GET /study/html1/naver/main.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:42:42 +0900] "GET /study/html1/naver/m_icon_check_disable.png HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:42:42 +0900] "GET /study/html1/naver/m_icon_pass.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:42:42 +0900] "GET /study/html1/naver/style.css HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:43:43 +0900] "POST /study/html1/naver/naver.html HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:46:19 +0900] "POST /study/html1/naver/naver.html HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:46:22 +0900] "POST /study/html1/naver/naver.html HTTP/1.1" 412 722
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:46:26 +0900] "POST /study/html1/naver/naver.html HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [12/Feb/2022:19:46:29 +0900] "POST /study/html1/naver/naver.html HTTP/1.1" 200 5914
